name,sku,barcode,brand,category,subcategory,description,shortDescription,price,mrp,costPrice,gst,stockQuantity,reorderLevel,weight,dimensions,hsn,warehouseLocation,status
Adidas Men's Royal Blue Manchester United Full-Zip Track Jacket,APP-ADIDASMEN-2,3C0965E7AEBD4,,Apparel,Jackets,Polyester. Long Sleeves. High Neck. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Navy Blue & Orange Real Madrid AEROREADY Full-Zip Track Jacket,SPO-MENS-2,B5705830EEA84,,Sportswear,Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Nike Men's Paris Saint-Germain (PSG) High-Neck Full-Zip Football Track Jacket - Blue,APP-NIKEMEN-2,9672FB2B71B34,,Apparel,Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Adidas Men White Germany DFB Retro Full-Zip Track Jacket,APP-ADIDASMEN-2-2,B40587A23E174,,Apparel,Jackets,Polyester. Long Sleeves. High Neck. Colorblocked. Casual. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Blue Adidas x Arsenal Retro Full-Zip Sports Track Jacket,CLO-MENS-2,9EC85270D2F04,,Clothing,Jackets,Polyester. Long Sleeves. Mock Neck. Striped. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Jordan x Paris Saint-Germain Men Maroon & White Colorblocked Track Jacket,CLO-JORDANX-2,970B35F675524,,Clothing,Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men's Borussia Dortmund (BVB) Full-Zip Sporty Track Jacket - Black & Yellow,APP-PUMAMEN-2-1,E977F2865E9B4,,Apparel,Track Jackets,Polyester. Long Sleeves. Mock Neck. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men's Navy & Light Blue Manchester City Zip-Up Track Jacket,APP-PUMAMEN-2-2,19A0C9E1741A4,,Apparel & Accessories,Jackets & Coats,Polyester. Long Sleeve. Stand Collar. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Liverpool FC Red Graphic Print Football Jersey with Shorts Set,SPO-MENS-2-3,58411071262C4,,Sports & Activewear,Football Kits & Jerseys,Polyester. Short Sleeve. Round Neck. Geometric Print. Sports. Slim Fit,,0,0,0,0,0,10,,,,,active
Men's Red & White Arsenal Football Jersey with Matching Shorts Kit,SPO-MENS-2-4,B725443B7FC74,,Sports & Activewear,Football Kits,Polyester. Short Sleeves. Crew Neck. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Adidas Men Maroon & Yellow Arsenal FC Full-Zip Track Jacket,SPO-ADIDASMEN-2-1,443F45D06E7A4,Jacket ,Sports & Activewear,Track Jackets,Polyester. Long Sleeves. High Neck. Colorblocked. Sports. Regular,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Adidas Men Red Manchester United 2024/25 Home Football Jersey,SPO-ADIDASMEN-2,5671C983D73A4,Master Version,Sports & Activewear,Sports T-Shirts,Polyester. Half Sleeve. Polo Neck. Brand Logo & Graphic Print. Sports. Slim Fit,,1699,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Puma Men Navy Blue Portugal FPF DryCell Full-Zip Track Jacket,APP-PUMAMEN-2,371D17A522924,,Apparel,Track Jackets,Polyester. Long Sleeve. High Neck. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Adidas Men Maroon & Yellow Arsenal FC Full-Zip Track Jacket,APP-ADIDASMEN-2-1,1908AC674F054,,Apparel & Accessories,Track Jackets,Polyester. Long Sleeve. High Neck. Striped. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men Black & Red AC Milan Colorblocked Full-Zip Track Jacket,APP-PUMAMEN-2-3,E428D5C8B0B24,,Apparel,Track Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Real Madrid White & Maroon Home Football Jersey with Shorts Set,SPO-MENS-2-1,10B92C5BE6CA4,,Sports & Fitness,Fan Gear & Football Kits,Polyester. Short Sleeve. V-Neck. Colorblocked / Brand Logo. Sports. Slim Fit,,0,0,0,0,0,10,,,,,active
Nike Men's Paris Saint-Germain (PSG) Full-Zip Blue Sportswear Track Jacket,SPO-NIKEMEN-2,5DE9F4188A1D4,Jacket,Sports & Activewear,Track Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men Royal Blue Chelsea FC Graphic Print Polo Neck Sports T-Shirt,APP-MENROYAL-2,1533AF39CAD24,Player Version,Apparel,Topwear,Polyester. Short Sleeves. Polo Neck. Brand Logo & Graphic Print. Sports. Regular Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
